"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty","replacement_points","vorp","flex_vorp"
"50","Tee Higgins","WR","CIN",250,24.1,2.03,209,276,49.1,36.9,36.5,49,58,49,14,4,32.4,27.6,36,236,14,29
"51","Mark Andrews","TE","BAL",176,8.58,2.18,163,187,29.2,31.8,11.6,51,61,79,7,4,73.8,7.39,14,163,13,-45
"52","Dak Prescott","QB","DAL",278,13.8,6.58,259,297,-3.9,-4.99,-11.5,51,165,231,15,5,90.4,8.72,63,265,13,-9999
"53","Davante Adams","WR","LAR",248,25.9,0.464,221,287,47.1,49.3,47,53,51,41,15,4,41.4,23.6,46,236,12,27
"54","Broncos","DST","DEN",97.2,9.65,0.484,87.3,113,1.89,1.03,6.6,54,122,94,1,1,105,3.64,3,85.3,11.9,-9999
"55","Texans","DST","HOU",96.7,8.56,1.41,85.5,108,1.41,-0.793,1.3,55,135,116,2,2,134,1.72,19,85.3,11.4,-9999
"56","Terry McLaurin","WR","WAS",247,20.4,1.46,223,278,46.6,51.4,38.3,56,48,47,16,4,39.7,22.5,43,236,11,26
"57","David Njoku","TE","CLE",174,12.8,10.5,153,189,27,21.4,13.6,56,69,73,8,5,90.5,5.98,23,163,11,-47
"58","Mike Evans","WR","TB",246,14.6,5.51,229,266,45.1,57.1,26.2,58,44,55,17,4,38.6,23.8,6,236,10,25
"59","Ravens","DST","BAL",95.3,6.59,0.759,89.1,106,0,2.82,0,58,113,130,3,3,124,1.85,6,85.3,10,-9999
"60","Eagles","DST","PHI",94.6,9.5,4.25,79,104,-0.759,-7.3,-2.73,60,185,147,4,4,113,2.09,23,85.3,9.3,-9999
"61","James Conner","RB","ARI",228,19.9,0.244,197,252,79.6,83.5,65.6,61,26,35,16,5,44.5,21.8,14,220,8,7
"62","Chuba Hubbard","RB","CAR",228,22.1,4.75,199,262,79.3,85.6,75.6,61,25,31,16,5,43.9,21.2,28,220,8,7
"63","J.J. McCarthy","QB","MIN",272,18.6,3.31,251,303,-10.5,-13.1,-5.47,63,231,178,16,6,129,3.23,69,265,7,-9999
"64","Vikings","DST","MIN",90.3,4.38,0.978,86.3,98.5,-5.01,0,-8,64,130,199,5,5,138,1.51,1,85.3,5,-9999
"65","Garrett Wilson","WR","NYJ",240,15,4.39,223,265,39.6,50.5,25.7,65,50,57,18,4,48,19.9,12,236,4,19
"66","Chase McLaughlin","K","TB",150,9.45,0.238,133,160,2.97,-5.27,2.49,65,171,111,2,1,139,1.74,32,146,4,-9999
"67","Kaimi Fairbairn","K","HOU",150,6.74,0.391,140,159,2.74,1.79,1.23,65,118,118,2,1,149,1.52,39,146,4,-9999
"68","Rams","DST","LAR",89.3,7.26,0.843,81.3,99.4,-5.99,-5.01,-7.08,65,166,193,6,6,162,0.767,26,85.3,4,-9999
"69","Bills","DST","BUF",88.5,9.65,0.068,69,94.3,-6.83,-17.3,-12.2,69,285,239,7,6,131,1.32,39,85.3,3.2,-9999
"70","Packers","DST","GB",88.4,11.7,2.84,70.5,102,-6.9,-15.8,-4.7,70,261,170,8,7,147,1.51,77,85.3,3.10000000000001,-9999
"71","Kenneth Walker III","RB","SEA",223,20.1,1.21,184,241,74.6,70.4,55.4,71,33,37,18,5,40.2,22.3,23,220,3,2
"72","Cameron Dicker","K","LAC",149,10,0.238,129,159,2.34,-8.78,1.37,71,198,115,4,1,127,2.48,3,146,3,-9999
"73","Jake Bates","K","DET",149,4.45,0.813,145,157,2.11,6.84,0,71,101,130,4,1,130,2.25,10,146,3,-9999
"74","C.J. Stroud","QB","HOU",268,15,1.35,245,287,-13.8,-19.2,-21.1,71,304,342,17,6,126,3.84,54,265,3,-9999
"75","Omarion Hampton","RB","LAC",222,28.9,1.34,182,256,73.4,68.3,70.1,75,36,33,19,6,36.5,28.4,61,220,2,1
"76","Jake Elliott","K","PHI",148,4.49,1.27,140,153,1.29,2.14,-4.38,75,116,164,6,1,149,1.84,13,146,2,-9999
"77","Drake Maye","QB","NE",267,18.3,1.81,238,283,-15.1,-25.7,-24.8,75,371,386,18,6,121,4.26,66,265,2,-9999
"78","Matt Gay","K","WAS",147,7.97,0.023,139,161,0.023,0.806,3.41,78,125,107,7,1,161,1.5,65,146,1,-9999
"79","Chris Boswell","K","PIT",147,4.84,0.713,142,154,0,4.57,-3.74,78,105,156,7,1,141,1.63,55,146,1,-9999
"80","Steelers","DST","PIT",85.6,6.04,0.338,77.7,93.7,-9.74,-8.56,-12.8,80,197,244,9,7,124,2.13,10,85.3,0.299999999999997,-9999
"81","TreVeyon Henderson","RB","NE",220,28.6,10.2,182,271,72,69,85.3,81,35,24,20,6,47.6,22.6,64,220,0,-1
"82","Marvin Harrison Jr.","WR","ARI",236,17,0.146,210,262,35.2,37.8,22.2,81,57,63,19,4,43.9,19.8,21,236,0,15
"83","D.J. Moore","WR","CHI",236,18.7,3.67,215,267,35.1,42.6,27.5,81,55,53,19,4,56,14.6,39,236,0,15
"84","Evan Engram","TE","DEN",163,17.2,0.497,138,184,16.5,6.04,8.46,81,102,88,9,5,96.9,6.65,31,163,0,-58
"85","Tyler Warren","TE","IND",163,19.4,8.88,144,204,16,12.9,29,81,82,52,9,6,98.4,7.77,63,163,0,-58
"86","Harrison Butker","K","KC",146,5.83,0.0529,138,154,-0.713,0.31,-3.15,81,128,153,9,1,149,1.88,19,146,0,-9999
"87","Tyler Bass","K","BUF",146,8.83,2.33,135,161,-0.766,-2.56,3.86,81,147,106,9,1,149,1.66,35,146,0,-9999
"88","Cowboys","DST","DAL",85.3,12,0.223,73.2,102,-10.1,-13.1,-4.57,81,232,168,10,8,156,0.65,97,85.3,0,-9999
"89","Jordan Love","QB","GB",265,13.7,0.61,244,286,-17,-20,-22.4,81,308,358,19,6,124,4.6,40,265,0,-9999
"90","Trevor Lawrence","QB","JAC",265,15.5,10.4,241,286,-17.6,-22.5,-22.3,81,345,354,19,6,135,3.59,37,265,0,-9999
"91","49ers","DST","SF",85,10,0.0176,67.8,94.4,-10.3,-18.5,-12,91,293,238,11,8,147,0.893,87,85.3,-0.299999999999997,-9999
"92","Seahawks","DST","SEA",85,5.43,0.808,78.3,92.1,-10.3,-8.05,-14.4,91,192,263,11,8,156,1.15,13,85.3,-0.299999999999997,-9999
"93","Lions","DST","DET",84.2,11,0.114,65.3,94,-11.1,-21,-12.5,93,320,241,13,9,153,1.25,55,85.3,-1.09999999999999,-9999
"94","Chiefs","DST","KC",84.1,8.03,0.166,72.4,90.9,-11.2,-13.9,-15.6,94,240,275,14,9,158,0.685,32,85.3,-1.2,-9999
"95","Commanders","DST","WAS",83.9,12.4,0.366,64.9,96.5,-11.4,-21.4,-9.96,95,327,213,15,9,161,0.75,74,85.3,-1.39999999999999,-9999
"96","Giants","DST","NYG",83.6,14.4,0.291,66.4,102,-11.8,-19.9,-4.5,96,307,167,16,9,163,0.2,99,85.3,-1.7,-9999
"97","Wil Lutz","K","DEN",144,5.16,0.154,139,153,-3.1,0.728,-4.32,97,126,163,11,1,155,1.58,29,146,-2,-9999
"98","Evan McPherson","K","CIN",144,8.98,0.77,133,158,-3.25,-4.7,1.01,97,162,122,11,1,165,1.62,61,146,-2,-9999
"99","Chargers","DST","LAC",83.3,9.13,1.7,72.3,95.1,-12.1,-14,-11.4,97,241,230,17,10,163,0.5,68,85.3,-2,-9999
"100","Younghoe Koo","K","ATL",143,8.94,0.922,133,156,-4.02,-4.6,-1.09,100,161,139,13,1,162,1.39,45,146,-3,-9999
"101","Cardinals","DST","ARI",81.6,12.1,0.0205,61.8,93.6,-13.8,-24.5,-12.9,101,363,245,18,10,161,0.877,94,85.3,-3.7,-9999
"102","Bengals","DST","CIN",81.6,6.17,0.696,72.5,89.4,-13.8,-13.8,-17.1,101,238,295,18,11,158,0,29,85.3,-3.7,-9999
"103","DK Metcalf","WR","PIT",232,5.69,0.772,225,240,31.4,53.3,0.37,103,47,126,21,4,50.3,16.8,3,236,-4,11
"104","Tyler Loop","K","BAL",142,4.38,1.93,133,145,-4.94,-4.46,-12.6,103,159,243,14,2,164,1.95,58,146,-4,-9999
"105","Browns","DST","CLE",80.9,10.8,0.689,64.2,91.6,-14.5,-22.1,-14.9,105,338,266,20,12,167,0,84,85.3,-4.39999999999999,-9999
"106","Courtland Sutton","WR","DEN",231,18.8,3.03,215,262,30.6,43.1,22.2,106,54,62,22,5,56.5,17.6,26,236,-5,10
"107","Raiders","DST","LVR",80.2,9.78,0.219,66.2,92,-15.2,-20.1,-14.5,107,312,264,21,12,170,0,35,85.3,-5.09999999999999,-9999
"108","Buccaneers","DST","TB",80,9.58,0.152,64.1,92.2,-15.4,-22.2,-14.3,108,341,261,22,12,156,0.2,52,85.3,-5.3,-9999
"109","Colts","DST","IND",79.8,3.59,0.0219,74.2,83.5,-15.5,-12.1,-23,109,223,366,23,12,166,0.5,16,85.3,-5.5,-9999
"110","Bears","DST","CHI",79.8,8.47,0.43,68,89.5,-15.6,-18.3,-17,109,291,291,23,13,151,0.65,45,85.3,-5.5,-9999
"111","Falcons","DST","ATL",79.4,8.89,0.394,68.3,92.9,-16,-18,-13.6,111,289,252,25,13,170,0,42,85.3,-5.89999999999999,-9999
"112","Brandon McManus","K","GB",140,11.3,0.511,125,155,-6.87,-13.3,-1.99,112,235,144,15,2,164,1.34,84,146,-6,-9999
"113","Daniel Carlson","K","LVR",140,9.42,1.08,122,147,-7.38,-15.6,-10.4,112,260,220,15,2,173,1.49,71,146,-6,-9999
"114","Jets","DST","NYJ",79,8.77,1.7,66.6,89.3,-16.4,-19.7,-17.2,114,305,296,26,14,172,0.3,61,85.3,-6.3,-9999
"115","Zay Flowers","WR","BAL",228,17.3,0.936,197,247,27.6,24.8,7.55,115,66,91,23,5,66.9,10,33,236,-8,7
"116","Will Reichard","K","MIN",138,8.92,1.81,129,152,-8.46,-8.86,-5.42,115,200,177,17,2,166,1.78,74,146,-8,-9999
