"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"18","A.J. Brown","WR","PHI",283,21.2,13.2,266,325,78.6,82.8,89.5,18,21,13,7,"4",12.4,46.2,14
"19","Travis Kelce","TE","KC",229,21.6,2.12,205,260,78.5,75.5,79.3,19,26,20,1,"1",28.8,30.6,38
"20","Josh Jacobs","RB","GB",237,29.3,2.5,206,285,78.4,94.9,85.8,20,17,15,12,"4",29.9,29.5,51
"21","Josh Allen","QB","BUF",352,27.6,2.32,311,389,77.8,66.8,87.3,21,30,14,1,"1",25.5,31.5,54
"22","Sam LaPorta","TE","DET",227,18.1,19.3,205,255,76.4,75.7,73.9,22,25,21,2,"2",34.1,24.4,15
"23","James Cook","RB","BUF",235,25.8,0.225,202,272,75.9,90.7,72.9,23,18,23,13,"4",33.4,24.6,45
"24","Devon Achane","RB","MIA",234,29.3,5.78,200,283,75.7,88.3,83.9,24,20,18,14,"5",26.1,26.4,66
"25","Jalen Hurts","QB","PHI",349,22,19.9,312,376,75.4,67.5,73.7,25,29,22,2,"2",32.2,25.5,20
"26","Joe Mixon","RB","HOU",229,18.7,0.504,200,248,69.9,88.9,48.7,26,19,32,15,"5",36.9,27.1,10
"27","Derrick Henry","RB","BAL",228,20.2,6.07,187,247,69.4,76,47.6,27,24,33,16,"5",16.9,41.9,24
"28","Garrett Wilson","WR","NYJ",270,21.9,13.8,247,307,65.5,63.1,71.1,28,33,24,8,"5",16.1,42.8,20
"29","Kenneth Walker III","RB","SEA",222,22.3,14.5,194,254,63.3,82.6,54.6,29,22,30,17,"6",39.7,20.3,20
"30","Trey McBride","TE","ARI",208,19.7,1.62,186,241,57.1,56.9,60.1,30,39,28,3,"2",54.4,15.7,41
"31","Patrick Mahomes","QB","KC",330,23.6,8.09,303,362,55.6,58.6,59.9,31,37,29,3,"2",29,28.5,29
"32","Mark Andrews","TE","BAL",206,14.2,8.76,192,226,55.5,63.3,45.4,32,32,36,4,"2",49,18.1,18
"33","Davante Adams","WR","LVR",256,19.7,2.92,233,282,51.6,49.8,46.6,33,46,35,9,"5",28,34.6,30
"34","Aaron Jones","RB","MIN",208,18.2,1.63,185,234,48.9,74.1,34.8,34,28,44,18,"6",59.4,16.4,8
"35","Chris Olave","WR","NO",253,9.19,5.69,240,267,48.7,56.7,31.6,35,40,47,10,"5",30.8,28.9,1
"36","Lamar Jackson","QB","BAL",322,23.8,20.1,297,354,47.5,52.6,52,36,44,31,4,"3",36.7,24.2,23
"37","Rhamondre Stevenson","RB","NE",206,19.8,5.99,186,236,47.2,74.7,37,37,27,42,19,"6",65.2,13.1,17
"38","Dalton Kincaid","TE","BUF",197,25.6,1.39,164,228,46.7,35,47.1,38,63,34,5,"2",61,12.2,56
"39","Evan Engram","TE","JAC",196,18.5,1.06,167,225,45.3,37.6,43.7,39,59,37,6,"3",77.8,10.4,24
"40","George Kittle","TE","SF",195,11.8,7.57,178,212,44.3,48.9,31.2,40,47,48,7,"3",59.9,12.6,6
"41","Marvin Harrison Jr.","WR","ARI",248,16.3,0.76,228,265,43,44.1,29.2,41,51,53,11,"5",22,47.2,8
"42","Deebo Samuel","WR","SF",247,27.5,1.8,223,300,42.3,39.3,64.2,42,56,27,12,"5",30.3,26,61
"43","James Conner","RB","ARI",200,23,2.8,176,232,41.3,65,33.1,43,31,45,20,"6",57.8,16.4,32
"44","Nico Collins","WR","HOU",245,17.6,1.71,225,271,40.5,41.2,35.4,44,54,43,13,"5",31.6,25.9,28
"45","Drake London","WR","ATL",243,16.3,1.24,225,268,38.7,41.4,32.5,45,53,46,14,"5",30.2,27.5,6
"46","Najee Harris","RB","PIT",197,17.2,2.8,174,223,38.5,63.1,24.6,46,34,60,21,"6",70.7,12.4,14
"47","Cooper Kupp","WR","LAR",242,16.4,0.236,220,263,37.5,36.8,27,47,61,56,15,"5",34.4,26.2,27
"48","Mike Evans","WR","TB",242,10.2,0.313,230,260,37.3,46.3,24.4,48,49,61,16,"5",31.4,28.9,1
"49","Michael Pittman","WR","IND",242,19.3,1.16,216,274,37,32.5,38.9,49,68,40,17,"5",43.8,23.1,37
"50","Kyle Pitts","TE","ATL",187,18.9,8.67,166,220,36.7,37.3,39,50,60,39,8,"4",69.4,11.2,32
"51","DeVonta Smith","WR","PHI",241,13.6,1.51,222,256,35.8,38.4,20.4,51,58,66,18,"6",45.1,19,4
"52","Zamir White","RB","LVR",194,17.3,4.81,173,218,35.7,61.6,18.7,52,35,69,22,"7",64.7,13.1,27
"53","Stefon Diggs","WR","HOU",239,19.3,1.84,222,266,34.3,38.8,30.7,53,57,49,19,"6",44.9,20.4,55
"54","DK Metcalf","WR","SEA",237,14.8,1.19,225,259,32.4,41.1,23.5,54,55,62,20,"6",39.5,22.6,11
"55","Brandon Aiyuk","WR","SF",236,15,0.0429,215,256,31.3,31.8,20.4,55,70,67,21,"6",35.9,22.6,13
"56","Jaylen Waddle","WR","MIA",236,15.2,1.56,219,257,31.2,35.7,21.1,56,62,65,22,"6",43,21.2,7
"57","David Montgomery","RB","DET",190,21,1.12,165,228,30.9,53.7,29.1,57,42,54,23,"7",65.2,14.7,18
"58","D'Andre Swift","RB","CHI",189,24.7,0.428,159,228,29.7,47.4,29.4,58,48,52,24,"7",64.2,14.1,42
"59","D.J. Moore","WR","CHI",234,21.8,6.59,204,261,29.7,20.8,25,59,79,59,23,"6",43.3,22.4,42
"60","Javonte Williams","RB","DEN",188,19.7,2.7,170,218,29.3,58.3,19.5,60,38,68,25,"7",96.4,9.28,31
"61","Jake Ferguson","TE","DAL",179,10.1,0.703,162,189,28,33.2,7.97,61,67,85,9,"4",86.8,7.06,1
"62","C.J. Stroud","QB","HOU",301,24.9,1.48,274,341,27.3,29.6,39.2,62,72,38,5,"3",47,16.9,49
"63","David Njoku","TE","CLE",178,12.7,17.3,164,198,27.3,35,16.9,63,64,70,10,"5",89.4,6.49,3
"64","Tony Pollard","RB","TEN",185,19.1,0.378,168,222,26.6,56.6,23.2,64,41,63,26,"7",84.2,9.84,28
"65","Devin Singletary","RB","NYG",185,26,0.438,162,228,26.2,51,28.9,65,45,55,27,"7",93.5,8.32,56
"66","Anthony Richardson","QB","IND",300,24,0.276,271,340,25.9,26.1,37.9,66,73,41,6,"3",53.9,15.1,43
"67","Jaylen Warren","RB","PIT",185,10.9,1.44,171,201,25.8,59.3,1.67,67,36,97,28,"7",92.9,6.79,6
"68","Joe Burrow","QB","CIN",300,19,1.32,279,329,25.6,34.6,26.5,68,65,57,7,"3",58.1,12.9,14
"69","Raheem Mostert","RB","MIA",183,20.3,5.79,164,222,24.4,52.8,22.7,69,43,64,29,"7",70.6,11,38
"70","Dak Prescott","QB","DAL",298,15.6,4.29,275,318,24.3,30.8,16,70,71,72,8,"4",66.5,12.2,6
"71","Amari Cooper","WR","CLE",228,17.2,1.88,206,249,23.1,22.1,13.8,71,78,73,24,"6",56.5,15.5,17
"72","George Pickens","WR","PIT",226,16.6,0.398,206,252,21.2,22.9,16.6,72,77,71,25,"6",62.3,12,38
"73","Zay Flowers","WR","BAL",226,8.93,1.1,217,239,20.8,33.3,3.18,73,66,93,26,"6",65.9,11.1,3
"74","Jordan Love","QB","GB",294,28.2,0.141,259,332,20,14.2,30.3,74,85,50,9,"4",70.1,10.8,66
"75","Kyler Murray","QB","ARI",294,18.5,9.13,264,313,19.8,19.1,10.9,75,80,77,10,"4",72.3,12.8,11
"76","Malik Nabers","WR","NYG",224,13.4,2.65,207,248,19.7,23.6,12.3,76,75,74,27,"6",55.7,29.3,18
"77","Tyjae Spears","RB","TEN",177,20.1,1.05,154,208,18.6,42.7,9.18,77,52,82,30,"7",102,5.53,34
"78","Austin Ekeler","RB","WAS",176,18.5,1.33,157,210,17.5,45.6,10.7,78,50,78,31,"7",95.5,8.42,44
"79","Tee Higgins","WR","CIN",222,16.2,1.56,197,244,17,13.8,8.3,79,87,84,28,"7",63.5,13.6,15
"80","Brian Robinson","RB","WAS",175,19.7,13.7,143,200,16.2,32.1,0.918,80,69,100,32,"8",90.3,7.11,37
"81","Chris Godwin","WR","TB",220,13,1.21,209,244,15.5,25.3,8.83,81,74,83,29,"7",90.8,10.9,23
"82","Brandon Aubrey","K","DAL",163,13.5,1.28,142,185,14.8,4.68,25.7,82,95,58,1,"1",112,3.89,35
"83","Christian Kirk","WR","JAC",219,16.4,2.83,201,248,14.3,17.3,12.2,83,82,75,30,"7",78.8,9.33,41
"84","Justin Tucker","K","BAL",161,4.86,5.07,154,169,13.5,16.2,9.86,84,83,80,2,"1",107,4.45,1
"85","Keenan Allen","WR","CHI",216,27.5,0.712,181,247,11.4,-2.58,11.9,85,111,76,31,"7",80.6,11.2,73
"86","Brock Purdy","QB","SF",285,17.8,9.94,255,304,10.7,10.8,1.73,87,90,96,11,"5",89.4,7.54,9
"87","Terry McLaurin","WR","WAS",215,19.8,1.77,190,245,10.7,6.16,9.37,86,93,81,32,"7",78.9,11.8,46
"88","Dallas Goedert","TE","PHI",161,14.8,6.44,144,181,10.1,14.5,0,88,84,103,11,"5",112,4.69,9
"89","Nathaniel Dell","WR","HOU",214,18.8,1.27,189,243,8.97,5.57,7.78,89,94,87,33,"7",64.6,10.9,48
"90","Harrison Butker","K","KC",156,6.35,0.407,149,167,8.48,11.8,7.86,90,89,86,3,"1",117,3.22,3
"91","Younghoe Koo","K","ATL",156,17,4.72,144,189,8.07,6.94,29.7,91,92,51,4,"2",142,1.85,52
"92","Calvin Ridley","WR","TEN",212,12.4,1.95,197,237,7.7,13.9,1.11,92,86,98,34,"7",77.3,10.9,24
"93","Rashee Rice","WR","KC",210,9.12,5.75,197,225,5.75,13.5,-11.1,93,88,129,35,"7",81,9.25,25
"94","Brock Bowers","TE","LVR",154,26.3,3.62,102,182,3.62,-26.9,0.791,94,184,101,12,"5",107,10.2,53
"95","Greg Zuerlein","K","NYJ",151,4.29,1.74,146,158,3.35,8.31,-1.03,95,91,105,5,"2",167,1.86,39
"96","Chase Brown","RB","CIN",161,16.7,1.81,135,184,2.51,23.4,-15.1,96,76,141,33,"8",109,5.89,39
"97","Jets","DST","NYJ",101,10.7,1.64,89.9,114,1.97,0,0,97,103,103,1,"1",119,2.18,32
"98","Jason Myers","K","SEA",149,10.9,1.39,134,166,1.6,-2.94,6.65,98,112,88,6,"2",165,1.24,45
"99","Caleb Williams","QB","CHI",275,21,0.761,245,298,0.761,0.124,-3.98,99,101,115,12,"5",106,17.2,46
"100","Ezekiel Elliott","RB","DAL",159,15.3,0.697,130,177,0.697,18.7,-21.7,100,81,166,34,"8",113,5.81,21
"101","Cowboys","DST","DAL",99.7,7.96,0.335,90.1,109,0.335,0.24,-4.78,101,99,118,2,"1",114,2.5,13
"102","Jake Elliott","K","PHI",148,7.95,0.218,139,162,0.218,1.6,2.8,102,96,94,7,"2",144,2.37,19
"103","Jayden Daniels","QB","WAS",274,23.8,1.21,245,302,0,0,0,103,103,103,13,"5",103,17,63
"104","Zack Moss","RB","CIN",159,30.4,6.9,107,199,0,-4.59,0,103,117,103,35,"9",94.4,8.37,73
"105","Diontae Johnson","WR","CAR",205,16.9,1.14,183,237,0,0,1.01,103,103,99,36,"7",97.2,8.4,39
"106","T.J. Hockenson","TE","MIN",151,24.6,1.99,110,182,0,-18.8,0.759,103,163,102,13,"5",126,6.72,68
"107","Evan McPherson","K","CIN",148,8.01,0.509,138,157,0,0.311,-1.48,103,98,107,8,"2",151,1.92,16
"108","Ravens","DST","BAL",99.4,8.62,1.38,89.5,113,0,-0.396,-1.19,103,106,106,3,"2",110,2.49,23
"109","Kaimi Fairbairn","K","HOU",147,10.6,1.03,137,163,-0.509,-0.158,3.95,104,104,91,9,"2",146,2.26,29
"110","Jayden Reed","WR","GB",204,18.6,9.35,184,230,-1.14,0.0415,-5.83,105,102,122,37,"8",84.7,5.62,54
"111","Trevor Lawrence","QB","JAC",273,19.6,0.615,240,299,-1.21,-5.02,-2.98,106,119,113,14,"5",121,5.76,26
"112","Browns","DST","CLE",98,11.8,1.93,86,118,-1.38,-3.85,3.39,107,114,92,4,"3",121,2.13,55
"113","Cameron Dicker","K","LAC",146,9.31,0.999,129,156,-1.54,-8.11,-2.79,108,129,111,10,"2",162,1.42,26
"114","Jared Goff","QB","DET",272,21.6,4.9,234,300,-1.82,-10.3,-1.73,109,137,108,15,"5",110,7.46,34
"115","Dalton Schultz","TE","HOU",149,11.1,0.445,130,165,-1.99,0.997,-16.1,110,97,147,14,"6",129,3.86,12
"116","Pat Freiermuth","TE","PIT",148,15.7,6.13,129,171,-2.43,0,-9.7,111,103,126,15,"6",133,3.78,29
"117","Matt Gay","K","IND",145,8.86,0.618,136,156,-2.54,-1.23,-2.8,112,108,112,11,"2",165,1.55,23
"118","Blake Grupe","K","NO",145,11.2,0.934,127,159,-3.15,-10.2,-0.159,113,136,104,12,"2",186,1.16,65
"119","Colts","DST","IND",96,14.7,1.61,77.7,116,-3.31,-12.2,2.05,114,142,95,5,"4",169,1.77,87
"120","Tyler Bass","K","BUF",144,7.81,0.324,137,156,-4.09,0,-2.69,115,103,110,13,"2",165,1.54,10
"121","Jake Moody","K","SF",143,7.4,0.356,132,153,-4.41,-5.34,-5.57,116,120,121,14,"2",154,1.66,13
"122","Jason Sanders","K","MIA",143,6.84,0.139,137,155,-4.77,-0.745,-4.31,117,107,117,15,"3",166,1.49,6
"123","Cairo Santos","K","CHI",143,11.5,4.07,129,159,-4.91,-8.12,0,118,130,103,16,"3",172,1.42,42
"124","Texans","DST","HOU",94.4,11.1,0.1,82.2,109,-4.92,-7.63,-5.24,119,126,120,6,"4",162,0.935,52
"125","49ers","DST","SF",94.3,4.92,1.1,90,103,-5.03,0.191,-11.4,120,100,131,7,"5",106,2.83,6
"126","Bills","DST","BUF",93.2,10.1,0.156,81.2,106,-6.13,-8.66,-8.69,121,132,124,8,"5",139,0.9,45
"127","Chiefs","DST","KC",93.1,4.47,0.327,85.6,98.1,-6.28,-4.31,-16.1,122,116,148,9,"5",140,1.09,1
"128","Eagles","DST","PHI",92.7,8.99,0.499,82.1,102,-6.61,-7.74,-11.9,123,127,132,10,"6",162,0.76,39
"129","Justin Herbert","QB","LAC",267,20.3,0.0893,243,290,-6.72,-1.84,-12.3,124,109,135,16,"5",127,5.44,37
"130","Tua Tagovailoa","QB","MIA",267,23.4,9.32,238,312,-6.81,-6.84,10.4,125,123,79,17,"6",106,6.52,51
"131","Nick Chubb","RB","CLE",152,33.4,3.06,111,195,-6.9,0,-4.13,126,103,116,36,"9",90.3,10.5,80
"132","Steelers","DST","PIT",92.2,4.86,0.468,86,98.5,-7.11,-3.87,-15.7,127,115,146,11,"6",143,1.62,3
"133","Dolphins","DST","MIA",91.8,8.93,3.39,82.1,104,-7.58,-7.77,-10.4,128,128,127,12,"7",154,1.08,35
"134","Cole Kmet","TE","CHI",142,33.6,10.1,91.8,177,-8.57,-37.4,-3.5,129,198,114,16,"7",135,3.47,99
"135","Daniel Carlson","K","LVR",139,10.4,0.807,123,150,-8.98,-14.3,-8.84,130,154,125,17,"3",173,1.36,58
"136","Cam Little","K","JAC",138,12.3,0.297,125,157,-9.79,-12.5,-1.92,131,143,109,18,"3",170,0,61
"137","Jonathon Brooks","RB","CAR",149,32.7,5.22,106,204,-9.95,-5.01,4.9,132,118,90,37,"9",93,12.7,82
"138","Dustin Hopkins","K","CLE",138,10.3,0.61,125,154,-10.1,-12.7,-4.97,133,144,119,19,"3",157,1.2,48
"139","DeAndre Hopkins","WR","TEN",194,21.4,2.32,170,236,-10.5,-13.4,0,134,148,103,38,"8",104,7.08,59
"140","Chris Boswell","K","PIT",137,4.66,0.0524,131,144,-10.7,-6.19,-15.3,135,121,143,20,"3",159,0,55
"141","Chase McLaughlin","K","TB",137,7.49,0.539,124,146,-10.7,-13.7,-13.1,136,150,139,21,"3",197,1.21,81
"142","Bengals","DST","CIN",88.4,9.55,1.27,74.6,100,-11,-15.2,-14.2,137,156,140,13,"8",158,0.82,58
"143","Matt Prater","K","ARI",137,4.71,1.07,130,142,-11.3,-7.45,-17,138,125,150,22,"3",170,0,87
"144","Seahawks","DST","SEA",87.1,6.96,0.49,75.7,93,-12.2,-14.2,-21.2,139,152,163,14,"8",177,0.725,71
"145","Joshua Karty","K","LAR",135,7.82,2.41,126,146,-12.4,-11.2,-12.6,140,141,136,23,"4",198,0.864,32
"146","Raiders","DST","LVR",86.6,4.2,0.0868,81.2,92.3,-12.7,-8.7,-21.9,141,133,167,15,"8",172,0.57,26
"147","Jordan Addison","WR","MIN",192,21.5,1.66,163,223,-12.8,-20.9,-13,142,168,138,39,"8",118,3.71,62
"148","Giants","DST","NYG",86.5,9.58,0.287,72.7,99,-12.8,-17.2,-15.2,143,160,142,16,"9",194,0.5,81
"149","Saints","DST","NO",86.2,6.55,0.956,75.6,92.5,-13.1,-14.3,-21.7,144,153,165,17,"10",165,0.95,16
"150","Packers","DST","GB",85.3,9.74,0.17,67.1,92.9,-14.1,-22.7,-21.3,145,175,164,18,"10",179,0.1,68
"151","Jaguars","DST","JAC",85.1,3.68,0.103,79.5,91,-14.2,-10.4,-23.2,146,138,174,19,"10",196,0.2,10
"152","Lions","DST","DET",85,10.9,0.459,66.5,97.2,-14.3,-23.4,-17,147,177,151,20,"10",168,1,65
"153","Christian Watson","WR","GB",190,23.9,3.06,163,224,-14.5,-20.9,-12,148,167,133,40,"8",98.9,5.38,77
"154","Wil Lutz","K","DEN",133,6.73,1.32,124,141,-14.8,-13.1,-18,149,146,154,24,"4",170,1.27,77
"155","Chargers","DST","LAC",84.6,9.93,2.13,71.5,94.8,-14.8,-18.4,-19.4,150,162,156,21,"11",174,0.4,90
"156","Gus Edwards","RB","LAC",144,36.9,2.97,90.1,205,-15.2,-21.3,5.81,151,170,89,38,"9",105,6.56,77
"157","Kirk Cousins","QB","ATL",258,24.1,0.0134,229,294,-16.1,-15.2,-8.27,153,155,123,18,"6",134,5.03,57
"158","Aaron Rodgers","QB","NYJ",258,18.8,2.36,236,291,-16.1,-8.28,-10.7,154,131,128,19,"6",130,5.54,40
"159","Jake Bates","K","DET",132,11.2,1.97,117,146,-16.1,-20.2,-12.7,152,165,137,25,"4",178,1.84,84
"160","Bears","DST","CHI",82.4,5.61,0.478,75.7,89.2,-16.9,-14.1,-25,155,151,181,22,"11",158,0.65,19
"161","Buccaneers","DST","TB",82,9.78,0.087,68,91.9,-17.4,-21.8,-22.3,156,172,171,23,"11",169,0,77
"162","Jaxon Smith-Njigba","WR","SEA",187,16.8,5.94,170,218,-17.5,-13.3,-17.4,158,147,152,41,"9",109,5.39,44
"163","Vikings","DST","MIN",81.9,6.65,0.465,69.6,89.9,-17.5,-20.3,-24.3,157,166,178,24,"12",195,0.1,42
"164","Falcons","DST","ATL",81.4,12,0.0103,65.3,94.4,-18,-24.6,-19.8,159,181,157,25,"12",159,0.55,94
"165","Rams","DST","LAR",81.4,8.71,0.625,68.8,93.8,-18,-21,-20.4,160,169,158,26,"13",170,0,74
"166","Jerome Ford","RB","CLE",141,27.3,8.99,105,178,-18.1,-6.57,-20.9,162,122,162,39,"10",114,6.4,61
"167","Nick Folk","K","TEN",130,7.18,1.19,119,136,-18.1,-17.9,-22.5,161,161,172,26,"4",170,0,68
"168","Deshaun Watson","QB","CLE",256,15.4,1.89,234,279,-18.5,-10.4,-23.2,163,139,173,20,"6",149,4.33,17
"169","Commanders","DST","WAS",80.8,17.7,0.795,51.6,97.5,-18.6,-38.2,-16.7,164,201,149,27,"14",170,0,99
"170","Tyler Conklin","TE","NYJ",132,12,5.52,116,152,-18.7,-12.8,-29.1,165,145,188,17,"7",161,2.06,50
"171","Will Reichard","K","MIN",129,10.6,2.04,116,143,-19.2,-21.4,-15.5,166,171,145,27,"4",195,2.21,71
"172","Broncos","DST","DEN",80,7.87,0.836,70.5,93.3,-19.4,-19.4,-20.9,167,164,161,28,"14",171,0.1,61
"173","Patriots","DST","NE",79.1,4.63,1.69,74.3,85.4,-20.2,-15.6,-28.8,168,158,187,29,"15",180,0,29
"174","Matthew Stafford","QB","LAR",254,12.8,1.32,237,272,-20.4,-7.35,-30.2,169,124,189,21,"6",140,4.65,1
"175","Graham Gano","K","NYG",127,12.7,2.93,109,147,-21.3,-28,-12.1,170,185,134,28,"5",170,0,97
"176","Baker Mayfield","QB","TB",252,11.5,6.59,236,266,-21.7,-8.85,-36.5,171,134,197,22,"6",148,4.27,3
"177","Titans","DST","TEN",77.4,8.35,1.77,65.6,89.5,-21.9,-24.3,-24.7,172,180,180,30,"16",170,0,48
"178","Jakobi Meyers","WR","LVR",181,25,1.7,155,220,-23.5,-28.7,-15.4,173,187,144,42,"9",140,3.56,70
"179","Cardinals","DST","ARI",75.7,13.4,1.44,52.4,92.2,-23.7,-37.5,-22,174,199,169,31,"17",154,0.1,97
"180","Hunter Henry","TE","NE",127,13,2.85,113,148,-24.2,-16.2,-33.4,175,159,194,18,"7",163,1.8,35
"181","Eddy Pineiro","K","CAR",124,9.16,7.29,115,140,-24.2,-22.2,-18.5,176,174,155,29,"5",170,0,94
"182","Panthers","DST","CAR",74.2,11.2,0,58.6,89.5,-25.1,-31.2,-24.7,177,193,179,32,"17",170,0,84
"183","Courtland Sutton","WR","DEN",180,9.45,1.86,170,197,-25.2,-13.6,-38.3,178,149,201,43,"9",114,5.72,10
"184","Ladd McConkey","WR","LAC",178,19.2,0.75,152,212,-27,-31.1,-23.6,180,192,177,44,"9",108,10.1,68
"185","Juwan Johnson","TE","NO",124,24.2,1.41,89.3,159,-27,-39.9,-21.9,179,206,168,19,"7",190,2.05,79
"186","Chuba Hubbard","RB","CAR",132,25.7,2.17,100,176,-27.1,-11.1,-23.4,181,140,175,40,"10",134,3.94,52
"187","Marquise Brown","WR","KC",177,29.4,0.589,139,218,-27.8,-44.5,-17.9,182,208,153,45,"9",105,5.8,92
"188","Geno Smith","QB","SEA",246,15.2,0.687,222,264,-28.3,-22.9,-38,183,176,200,23,"6",160,2.88,31
"189","Xavier Worthy","WR","KC",176,22.6,1.81,145,215,-28.4,-38.2,-20.7,184,202,160,46,"9",96.6,11.8,66
"190","Chigoziem Okonkwo","TE","TEN",122,17.7,2.38,99.8,153,-28.4,-29.4,-28.4,185,188,185,20,"7",164,1.61,71
"191","Daniel Jones","QB","NYG",245,22.9,9.22,215,274,-29,-30.1,-27.7,186,191,184,24,"7",176,3.23,74
"192","J.K. Dobbins","RB","LAC",129,30.8,0.716,87.2,170,-29.3,-24.2,-28.5,187,179,186,41,"10",125,5.34,89
"193","Antonio Gibson","RB","NE",129,15.4,2.87,109,147,-30,-2.18,-51.8,188,110,223,42,"10",145,2.57,23
"194","Jameson Williams","WR","DET",175,20.7,2.56,158,215,-30.2,-25.5,-20.5,189,182,159,47,"9",116,4.6,65
"195","Cade Otton","TE","TB",120,9.99,0.306,105,132,-30.8,-23.7,-48.9,190,178,215,21,"7",169,1.93,21
"196","Luke Musgrave","TE","GB",120,24.2,4.16,83,145,-31.1,-46.2,-35.6,191,210,196,22,"8",155,2.07,65
"197","Anders Carlson","K","GB",116,27.8,1.18,62.9,137,-31.5,-74.5,-22.2,192,246,170,30,"6",170,0,90
"198","Adam Thielen","WR","CAR",172,17.1,0.935,154,204,-32.7,-29.6,-31.9,194,190,192,48,"9",146,2.56,76
"199","Chad Ryland","K","NE",115,13,28.2,97.4,131,-32.7,-39.9,-27.5,193,205,183,31,"7",170,0,74
"200","Rico Dowdle","RB","DAL",126,18.2,1.24,108,152,-32.9,-3.58,-47.3,195,113,213,43,"10",125,5.81,48
"201","Tyler Lockett","WR","SEA",171,9.05,1.33,157,183,-33.7,-26.6,-52.2,196,183,224,49,"9",143,3.93,21
"202","Ty Chandler","RB","MIN",125,9.08,0.462,111,133,-34.1,-0.355,-65.8,197,105,246,44,"10",143,2.4,3
"203","Zach Charbonnet","RB","SEA",124,13,7.27,102,136,-34.6,-9.36,-63.1,198,135,241,45,"10",132,2.81,1
"204","Josh Palmer","WR","LAC",170,11.3,0.439,155,188,-35,-28.2,-47.2,199,186,212,50,"9",134,3.68,45
"205","Taysom Hill","TE","NO",115,12.1,2.98,97.9,130,-35.3,-31.3,-50.9,200,195,220,23,"8",158,2.21,62
"206","Romeo Doubs","WR","GB",169,23.6,0.00418,139,204,-35.4,-44.6,-31.2,201,209,191,51,"9",132,3.25,75
"207","Brian Thomas Jr.","WR","JAC",169,13.9,1.05,146,186,-35.5,-37.8,-49.1,202,200,217,52,"9",128,9.8,49
"208","Jerry Jeudy","WR","CLE",168,23.4,0.0415,126,199,-36.5,-57.9,-36.8,203,224,198,53,"9",142,3.28,72
"209","Keon Coleman","WR","BUF",168,27.9,1.66,126,210,-36.5,-57.4,-25.5,204,223,182,54,"9",106,9.56,93
"210","Derek Carr","QB","NO",236,17.3,10.5,215,256,-38.2,-29.4,-45.8,206,189,210,25,"7",167,5.43,69
"211","Curtis Samuel","WR","BUF",167,24,0.731,125,203,-38.2,-58.2,-33,205,225,193,55,"9",133,4.29,83
"212","Noah Fant","TE","SEA",112,10.5,6.45,98,130,-38.3,-31.2,-51.1,207,194,221,24,"8",172,1.61,47
"213","Rome Odunze","WR","CHI",166,26.3,0.646,117,199,-38.9,-66.6,-37.1,208,232,199,56,"9",110,14.5,90
"214","Brandin Cooks","WR","DAL",165,11.3,1.05,151,178,-39.6,-32.9,-58.1,209,197,231,57,"9",141,3.65,35
