"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"Julian Blackmon","DB","NO",98.1,NA,0.0388,NA,NA,8.54,NA,NA,91,NA,NA,6,"1",NA,4.54,89
"Reed Blankenship","DB","PHI",98.1,6.51,2.16,93.9,103,8.5,9.63,4.59,92,95,101,7,"2",NA,6.7,23
"George Pickens","WR","DAL",209,13,2.24,188,226,8.37,15.8,-13.8,93,78,254,31,"6",67.6,11.6,25
"Fred Warner","LB","SF",97.4,0.99,2.22,96.6,98,8.11,9.36,7.02,94,96,93,3,"1",NA,16.2,2
"Tucker Kraft","TE","GB",154,17.2,2.91,121,177,7.12,-10.2,1.41,95,209,113,11,"6",109,3.96,34
"Budda Baker","DB","ARI",95.9,2.9,5.3,94,98,6.34,9.78,-0.221,96,94,135,8,"3",NA,9.65,2
"Jaylen Waddle","WR","MIA",207,20.3,2.53,172,229,6.13,0,-10.8,97,130,224,32,"6",79.7,11,51
"Justin Fields","QB","NYJ",288,13.6,2.78,275,308,6,10.8,0,98,92,130,11,"4",106,4.56,71
"Robert Spillane","LB","NE",95.1,3.25,0.762,93,97.5,5.89,5.78,6.55,99,104,95,4,"1",NA,9.48,25
"Foyesade Oluokun","LB","JAC",94.4,6.36,3.2,90.3,99,5.13,3.03,8.08,100,111,89,5,"2",NA,24.4,41
"Zach Charbonnet","RB","SEA",153,18.7,0.583,129,180,4.21,16.2,-5.59,101,76,179,31,"9",110,5.85,25
"Jake Ferguson","TE","DAL",151,7.73,4.21,144,165,4.21,12.8,-10.1,102,84,215,12,"6",132,2.72,6
"Nik Bonitto","DL","DEN",47,4.88,0.655,43.9,50.6,4.12,3.81,4.71,103,107,100,3,"2",NA,7.08,31
"Nik Bonitto","DL","DEN",47,4.88,0.655,43.9,50.6,4.12,3.81,4.71,103,107,100,3,"2",NA,7.08,91
"Travis Etienne","RB","JAC",152,22.5,3.09,125,188,3.63,12.1,1.72,104,86,112,32,"9",107,7.37,42
"Deebo Samuel","WR","WAS",204,19.6,0.443,184,238,3.6,12.3,-1.4,105,85,140,33,"6",90.1,7.9,47
"T.J. Watt","DL","PIT",46.3,5.59,0.12,42.2,49.9,3.47,2.17,4.05,106,115,103,4,"2",NA,16.2,28
"T.J. Watt","DL","PIT",46.3,5.59,0.12,42.2,49.9,3.47,2.17,4.05,106,115,103,4,"2",NA,16.2,74
"Aidan Hutchinson","DL","DET",46.2,4.24,0.484,43.1,48.9,3.35,3.04,3.07,107,110,109,5,"2",NA,18,14
"Justin Herbert","QB","LAC",285,13.1,3.21,267,302,3.21,3.68,-6.15,108,108,184,12,"5",111,5.5,31
"Chris Olave","WR","NO",204,24.1,0.462,171,245,3.16,-1.16,5.49,109,138,97,34,"6",89.8,7.19,56
"Chase McLaughlin","K","TB",150,9.45,0.238,133,160,2.97,-5.27,2.49,110,171,111,2,"1",139,1.74,32
"Jonathan Greenard","DL","MIN",45.7,6.01,0.737,41.9,50.2,2.87,1.82,4.28,111,117,102,6,"2",NA,7.1,32
"Jonathan Greenard","DL","MIN",45.7,6.01,0.737,41.9,50.2,2.87,1.82,4.28,111,117,102,6,"2",NA,7.1,76
"Kaimi Fairbairn","K","HOU",150,6.74,0.391,140,159,2.74,1.79,1.23,112,118,118,3,"1",149,1.52,39
"Rome Odunze","WR","CHI",203,20.3,2.69,178,231,2.69,5.96,-8.5,113,103,203,35,"6",87.1,7.12,54
"Cameron Dicker","K","LAC",149,10,0.238,129,159,2.34,-8.78,1.37,114,198,115,4,"1",127,2.48,3
"Anfernee Jennings","DL","NE",45,NA,1.62,NA,NA,2.13,NA,NA,115,NA,NA,7,"3",NA,NA,95
"Jake Bates","K","DET",149,4.45,0.813,145,157,2.11,6.84,0,116,101,130,5,"1",130,2.25,10
