"player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"Christian Elliss","LB","NE",50.6,4.03,0.24,48.1,53.6,-38.6,-39.2,-37.4,624,464,478,59,"9",NA,NA,78
"Christian Elliss","LB","NE",50.6,4.03,0.24,48.1,53.6,-38.6,-39.2,-37.4,624,464,478,59,"9",NA,NA,64
"James Williams","LB","TEN",50.4,NA,0.105,NA,NA,-38.8,NA,NA,626,NA,NA,60,"9",NA,NA,61
"James Williams","LB","TEN",50.4,NA,0.105,NA,NA,-38.8,NA,NA,626,NA,NA,60,"9",NA,NA,97
"Tyjae Spears","RB","TEN",109,31.3,2.48,62.3,152,-39.2,-50.9,-33.6,630,499,448,47,"11",150,1.84,87
"Sam Darnold","QB","SEA",242,14.7,3.4,218,260,-40.3,-46,-48.2,637,488,515,26,"7",152,3.99,23
"Marvin Mims","WR","DEN",160,30,4.64,126,207,-40.9,-46.4,-32.9,642,489,445,52,"8",140,2.52,79
"Trey Benson","RB","ARI",107,14.6,0.785,91.1,125,-41.7,-22.1,-60.7,645,339,541,48,"11",138,3.31,33
"Ray Davis","RB","BUF",106,29.2,0.339,73.1,160,-42.5,-40.1,-25.8,651,469,395,49,"11",144,1.99,71
"Rico Dowdle","RB","CAR",106,18.9,2.61,85.7,139,-42.8,-27.5,-46.8,655,386,512,50,"11",161,2.54,59
"Andre Szmyt","K","CLE",104,18.9,26.8,83,127,-43.4,-54.9,-30.5,658,509,430,32,"6",170,0,77
"Cam Ward","QB","TEN",238,21.8,0.352,202,264,-43.7,-61.4,-43.8,662,515,501,27,"7",150,4.99,57
"Elijah Arroyo","TE","SEA",103,31.3,3.5,53.7,141,-43.7,-77.8,-34.4,661,548,454,33,"9",166,3.04,97
"Aaron Rodgers","QB","PIT",238,22.9,45.3,219,280,-44.1,-45,-28,664,480,412,28,"8",149,8.01,34
"Braelon Allen","RB","NYJ",103,19.9,2.56,75.5,133,-45.4,-37.7,-53.4,674,460,528,51,"11",132,4.68,57
"Rashod Bateman","WR","BAL",155,20.8,1.2,124,181,-45.6,-48.1,-59,677,494,538,53,"8",145,3.14,58
"Xavier Legette","WR","CAR",154,19.4,0.228,119,176,-46.8,-52.8,-63.7,686,503,551,54,"8",157,1.44,65
"Keenan Allen","WR","LAC",154,30.3,0.256,118,193,-47,-53.8,-47,688,507,513,55,"8",132,3.99,92
"Wan'Dale Robinson","WR","NYG",153,25.6,0.106,114,180,-47.2,-58,-59.6,691,511,540,56,"8",165,2,81
"Ja'Tavion Sanders","TE","CAR",99.6,15.2,4.98,78.1,118,-47.2,-53.4,-57.4,690,506,532,34,"10",178,1.34,49
"Darnell Mooney","WR","ATL",153,63.7,7.45,18.2,203,-47.4,-154,-36.9,692,750,474,57,"8",137,2.98,97
"Tyler Allgeier","RB","ATL",100,7.03,2.86,91.7,113,-48,-21.5,-73.3,695,328,566,52,"12",149,2.44,1
"Bhayshul Tuten","RB","JAC",97.5,18.3,0.121,67.7,125,-50.8,-45.6,-61.2,705,485,543,53,"12",143,2.63,70
"Kareem Hunt","RB","KC",97.4,14.7,4.39,77.7,122,-51,-35.5,-63.7,706,446,550,54,"12",163,2.88,38
"Will Dissly","TE","LAC",94.6,17.4,4.56,65.1,109,-52.2,-66.4,-66,711,526,555,35,"10",170,1.09,80
"Demario Douglas","WR","NE",146,21,0.235,109,169,-54.8,-63.1,-70.2,719,519,563,58,"9",163,2.22,71
"Cedric Tillman","WR","CLE",145,23,2.29,101,166,-55,-70.9,-74,720,535,568,59,"9",169,2.55,60
"Justice Hill","RB","BAL",93,21.3,0.609,49,112,-55.4,-64.2,-74.1,722,522,569,55,"12",173,2.08,74
"Brian Robinson","RB","SF",92.4,23.2,2.59,71.9,128,-56,-41.3,-57.6,725,471,533,56,"12",125,3.83,78
"Noah Fant","TE","CIN",90,16.4,1.52,71.2,113,-56.7,-60.3,-62.6,727,512,547,36,"10",170,1.34,83
"Christian Kirk","WR","HOU",143,18.8,1.98,124,174,-57.3,-48,-65.9,731,493,554,60,"9",143,2.67,50
"Dylan Sampson","RB","CLE",89.8,40.6,9.55,20.9,140,-58.5,-92.3,-45.5,736,580,506,57,"12",148,3.06,93
"Marquise Brown","WR","KC",141,36.3,1.59,71,182,-59.3,-101,-57.3,741,603,531,61,"9",158,3.56,82
"Brandon Aiyuk","WR","SF",140,49.7,0.222,82.7,237,-60.9,-89.3,-2.93,756,571,151,62,"9",141,3.74,96
"Jayden Higgins","WR","HOU",139,44.5,2.54,60.1,196,-61.1,-112,-43.6,757,642,500,63,"9",140,2.71,99
"Romeo Doubs","WR","GB",137,23.8,7.63,110,168,-63.7,-61.9,-71.4,769,517,564,64,"9",174,1.6,69
"Roschon Johnson","RB","CHI",80.3,11.5,0.479,68.7,101,-68.1,-44.5,-84.6,778,479,584,58,"12",175,2.01,36
"Audric Estime","RB","FA",79.8,NA,1.27,NA,NA,-68.6,NA,NA,784,NA,NA,59,"13",NA,NA,99
"Khalil Herbert","RB","FA",78.5,18.2,4,66.1,91.2,-69.8,-47.1,-94.8,791,491,602,60,"13",NA,NA,68
"Michael Wilson","WR","ARI",129,20.1,1.78,110,160,-71.3,-62.4,-79.2,801,518,576,65,"9",184,1.55,75
"Adam Thielen","WR","MIN",127,41.3,4.29,81.7,186,-73.1,-90.3,-53.5,810,573,529,66,"10",152,2.59,94
"Antonio Gibson","RB","NE",74.5,29.4,0.327,31.3,100,-73.8,-81.9,-85.7,813,557,587,61,"13",NA,2.38,83
"Kendre Miller","RB","NO",74.2,18,1.43,51.7,103,-74.2,-61.5,-83.2,815,516,580,62,"13",174,2.77,52
"Ty Johnson","RB","BUF",72.8,19.9,0.629,52.4,102,-75.6,-60.8,-84.4,820,513,583,63,"13",170,1.12,67
"Jaylen Wright","RB","MIA",72.1,25.3,3.88,38.1,101,-76.2,-75.2,-85.2,825,542,586,64,"13",165,1.3,86
"Quentin Johnston","WR","LAC",123,39.4,1.91,70.2,177,-77.4,-102,-62.6,831,608,546,67,"10",167,2.39,90
"Luther Burden","WR","CHI",121,34.6,1.59,76.3,182,-79.3,-95.7,-58.1,847,588,534,68,"10",155,2.87,85
"Raheem Mostert","RB","LVR",68.3,27.2,2.41,37.9,116,-80.1,-75.3,-69.6,851,543,561,65,"13",177,2.06,84
"Josh Palmer","WR","BUF",120,24.2,0.00376,86.5,150,-80.9,-85.5,-89.7,857,563,593,69,"10",162,2.28,78
"Ray-Ray McCloud","WR","ATL",120,29.4,1.72,74,165,-80.9,-98,-75,858,596,570,70,"10",193,1.68,99
"Ollie Gordon","RB","MIA",65.9,35,1.06,25.2,124,-82.5,-88.1,-61.6,862,567,544,66,"13",141,4.71,90
"Tyler Lockett","WR","TEN",118,32.2,0.495,96.7,181,-82.6,-75.3,-58.4,864,544,536,71,"10",175,2.28,86
"Alec Pierce","WR","IND",117,37.5,2.47,71.2,171,-83.1,-101,-68.7,867,601,559,72,"10",177,1.81,88
"Gus Edwards","RB","FA",64.8,NA,1.22,NA,NA,-83.6,NA,NA,870,NA,NA,67,"13",NA,NA,80
"Woody Marks","RB","HOU",63.6,38.1,0.177,5.51,120,-84.8,-108,-66.2,877,627,556,68,"13",171,3.17,97
"Alexander Mattison","RB","MIA",63.4,NA,0.1,NA,NA,-85,NA,NA,880,NA,NA,69,"13",NA,NA,NA
"Ameer Abdullah","RB","FA",63.3,NA,0.227,NA,NA,-85.1,NA,NA,883,NA,NA,70,"13",NA,NA,NA
"Samaje Perine","RB","CIN",63.1,14.4,0.173,48.2,87.3,-85.3,-65.1,-98.7,885,525,610,71,"13",171,1.38,75
"Cam Akers","RB","FA",62.9,NA,0.125,NA,NA,-85.5,NA,NA,886,NA,NA,72,"13",NA,NA,91
"Russell Wilson","QB","NYG",193,48.6,2.46,116,245,-89.4,-148,-62.9,920,740,549,29,"8",159,4.11,80
"Daniel Jones","QB","IND",190,75.2,30.1,46.6,279,-91.9,-217,-28.9,931,798,420,30,"9",150,5.31,89
"Spencer Rattler","QB","NO",160,78.9,30.1,23.3,246,-122,-241,-61.9,1020,801,545,31,"10",170,1.88,91
"Joe Flacco","QB","CLE",130,63.7,14.1,42.2,218,-152,-222,-90.1,1110,799,595,32,"11",168,3.89,86
"Anthony Richardson","QB","IND",116,96.9,37.6,8.02,262,-166,-256,-46,1130,803,508,33,"12",168,2.34,94
"Kirk Cousins","QB","ATL",78.5,102,2.95,0.118,219,-204,-264,-88.6,1190,839,592,34,"12",170,1.92,97
"Tyler Shough","QB","NO",75.5,51.8,17.1,3.58,142,-207,-260,-166,1200,815,741,35,"13",182,3.32,83
"Deshaun Watson","QB","CLE",58.5,29.6,6.76,38.2,78.9,-224,-226,-229,1200,800,802,36,"14",NA,2.21,99
