"","X","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty","replacement_points","vorp","flex_vorp"
"203",204,"Marquise Brown","WR","KC",143,23.5,4.13,116,177,-47.2,-56.1,-33.1,203,214,183,47,9,109,4.72,87,191,-48,-32
"204",200,"Zach Ertz","TE","WAS",74.9,19.8,5.49,57.5,105,-44.2,-41.3,-38.3,204,186,190,28,10,173,2.23,91,124,-49.1,-100.1
"205",205,"J.K. Dobbins","RB","LAC",121,25,5.8,89.9,155,-49.6,-63.1,-48.8,205,223,208,41,10,123,5.6,82,171,-50,-54
"206",207,"Will Levis","QB","TEN",264,25.1,13.2,229,293,-50,-51.7,-54.1,206,201,218,26,7,153,2.37,66,316,-52,-9999
"207",208,"Brian Thomas Jr.","WR","JAC",139,13.4,0.135,118,154,-51.3,-54.2,-56.1,206,208,219,48,9,122,5.76,57,191,-52,-36
"208",209,"Keon Coleman","WR","BUF",139,24.4,0.0687,103,177,-51.5,-69,-33.4,206,231,185,48,9,106,6.08,94,191,-52,-36
"209",210,"Romeo Doubs","WR","GB",139,19.9,0.495,114,167,-51.5,-58.1,-43.7,206,218,197,48,9,130,2.95,74,191,-52,-36
"210",211,"Khalil Shakir","WR","BUF",138,14.1,0.0807,122,161,-52,-49.9,-49.1,210,196,209,51,9,126,3.45,73,191,-53,-37
"211",212,"Rashid Shaheed","WR","NO",138,13.8,0.406,119,161,-52.1,-53.1,-49.6,210,206,210,51,9,144,2.42,50,191,-53,-37
"212",213,"Rome Odunze","WR","CHI",138,20.5,0.167,101,164,-52.5,-70.4,-46.3,210,234,202,51,9,108,8.29,86,191,-53,-37
"213",214,"Josh Palmer","WR","LAC",138,9.15,0.0824,126,153,-52.7,-46.3,-57.2,210,191,221,51,9,132,4.04,47,191,-53,-37
"214",215,"Jerry Jeudy","WR","CLE",138,20.8,0.533,99.9,165,-52.8,-72,-45.7,210,236,199,51,9,141,3.06,80,191,-53,-37
"215",217,"Brandin Cooks","WR","DAL",137,9.77,0.0949,124,148,-53.3,-48.1,-61.8,215,194,227,56,9,144,3.03,43,191,-54,-38
"216",218,"Tyler Lockett","WR","SEA",137,9.18,1.82,124,149,-53.4,-48.1,-60.8,215,193,225,56,9,143,4.2,31,191,-54,-38
"217",206,"Mike Gesicki","TE","CIN",69.4,15.9,3.1,47.5,91.2,-49.7,-51.4,-51.9,217,200,213,29,10,177,3.78,65,124,-54.6,-105.6
"218",224,"Adam Thielen","WR","CAR",135,11.7,1.89,123,156,-55.2,-49.2,-53.9,218,195,216,58,9,144,2.69,64,191,-56,-40
"219",225,"Rico Dowdle","RB","DAL",115,16.6,1.86,97.8,141,-55.4,-55.2,-63.1,218,210,231,42,10,124,4.77,58,171,-56,-60
"220",216,"Hayden Hurst","TE","LAC",66.3,19.9,0.783,33.2,91.1,-52.8,-65.6,-51.9,220,225,214,30,10,170,0.972,82,124,-57.7,-108.7
"221",227,"Curtis Samuel","WR","BUF",133,21.6,5.33,99.1,165,-57.1,-72.7,-45.2,221,239,198,59,10,138,2.92,84,191,-58,-42
"222",228,"Ty Chandler","RB","MIN",113,8,1.22,100,123,-57.3,-52.8,-81.1,221,204,264,43,10,142,2.65,1,171,-58,-62
"223",219,"Tyler Higbee","TE","LAR",65.5,12,0.0791,48.4,81.2,-53.6,-50.5,-61.9,223,198,228,31,10,170,2.02,53,124,-58.5,-109.5
"224",220,"Daniel Bellinger","TE","NYG",65.4,22.2,0.0656,35.9,101,-53.7,-63,-42.3,224,221,196,32,10,170,1.14,88,124,-58.6,-109.6
"225",221,"Greg Dulcich","TE","DEN",65.3,22.3,0.193,39.7,106,-53.7,-59.2,-37.5,225,219,187,33,10,184,1.93,94,124,-58.7,-109.7
"226",222,"Kylen Granson","TE","IND",65.1,10.7,0.982,53,85.2,-53.9,-45.8,-57.8,226,190,222,34,10,170,1.33,50,124,-58.9,-109.9
"227",229,"Antonio Gibson","RB","NE",112,10.5,5.07,97.5,123,-58.5,-55.5,-80.9,227,211,263,44,10,146,2.32,11,171,-59,-63
"228",223,"Tucker Kraft","TE","GB",64.2,6.73,1.9,54.5,72.2,-54.9,-44.3,-70.8,228,187,244,35,10,171,1.63,32,124,-59.8,-110.8
"229",226,"Dawson Knox","TE","BUF",62.3,10.6,1.75,45.5,77.6,-56.8,-53.3,-65.4,229,207,234,36,11,160,1.68,21,124,-61.7,-112.7
"230",230,"Gabriel Davis","WR","JAC",128,22.5,0.846,95.4,164,-62.4,-76.5,-46.3,230,246,201,60,10,154,2.55,90,191,-63,-47
