"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"180","Gabriel Davis","WR","BUF",151,13.1,1.12,136,165,-6.97,0,-14.5,172,130,239,38,"7",102,5.17,18
"181","Justin Simmons","DB","DEN",97.9,18.3,0.448,86.9,119,-7,-3.3,-5.54,173,145,165,17,"1",NA,5.04,61
"182","Saints","DST","NO",89.4,7.34,0.299,82.7,103,-7.14,-2.22,-8.58,174,141,186,12,"7",141,1.8,13
"183","Uchenna Nwosu","DL","SEA",67.2,7.99,0.145,62.1,73.1,-7.35,-6.43,-17.7,175,166,264,21,"4",NA,7.08,38
"184","Chris Boswell","K","PIT",133,12.7,0.373,122,157,-7.39,-6.56,2.59,176,169,118,16,"2",167,1.72,71
"185","Colts","DST","IND",89.1,9.19,0.314,73.2,97.6,-7.44,-11.7,-13.5,177,216,224,13,"8",170,0,68
"186","Marcus Williams","DB","BAL",97.4,12.2,0.0539,88.8,111,-7.45,-1.38,-13.1,178,137,220,18,"1",NA,2.98,30
"187","DeForest Buckner","DL","IND",67.1,15.6,0.0579,55.7,84.8,-7.5,-12.8,-6.06,179,229,172,22,"4",NA,10.4,60
"188","Grant Delpit","DB","CLE",97.4,20.5,0.0491,84.5,121,-7.5,-5.77,-3.48,180,160,151,19,"1",NA,4.1,70
"189","Da'Ron Payne","DL","WAS",67,21.9,0.201,53.6,92.1,-7.55,-14.9,1.28,182,250,123,23,"4",NA,4.22,91
"190","Rasul Douglas","DB","GB",97.3,9.43,0.135,89.7,108,-7.55,-0.48,-16.7,181,133,259,20,"1",NA,4.34,19
"191","Rayshawn Jenkins","DB","JAC",97.2,22.9,0.07,83.1,123,-7.68,-7.17,-0.96,183,175,138,21,"1",NA,4.63,74
"192","Kevin Byard","DB","TEN",97.1,20,1.32,85.2,120,-7.75,-5.02,-4.28,184,153,155,22,"2",NA,4.03,69
"193","Seahawks","DST","SEA",88.8,10,0.42,73,100,-7.76,-11.9,-10.7,186,221,195,14,"8",177,0.5,81
"194","Kwity Paye","DL","IND",66.8,18.1,0.409,56.5,87.6,-7.76,-12.1,-3.24,185,222,149,24,"4",NA,NA,73
