"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","return_tds","return_tds_sd","fg_miss","fg_miss_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","injury_status","injury_details","week","season_year"
"24","Jimmy Garoppolo","SF","QB","2543801","robust",1470,166.318068,1.925,1.149015,1.4,0.511497,11.5,4.381083,0.05,0.059304,0.09375,0.08710275,0.32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Davis Mills","HOU","QB","2566136","robust",3738.8425,240.188613,21.75,1.55673,13.195,0.467019000000001,105.895,48.473607,0.95,0.696822,1.4025,0.22053675,2.14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Geno Smith","SEA","QB","2539335","robust",1870.39,778.365,9.075,1.70499,6.85,2.935548,99.45,37.8063,0.89,1.26021,0.934375,0.06486375,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Baker Mayfield","CAR","QB","2560800","robust",3604.75,139.95744,21.4925,3.988194,13.99,4.15128,165.855,30.259866,1.5,0.7413,2.441875,0.0574507500000001,1.42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Daniel Jones","NYG","QB","2562299","robust",3604.075,281.17509,20,1.4826,13.11,1.40847,439.925,35.80479,2.675,0.51891,5.0475,0.25760175,2.69,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Marcus Mariota","ATL","QB","2552466","robust",3085.925,707.9415,17.1425,3.676848,9.7875,2.527833,317.8375,104.5233,2.4225,2.142357,1.58375,0.0630105,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Carson Wentz","WAS","QB","2555259","robust",3643.41,177.941652,22.875,2.29803,11.025,1.645686,236.025,27.4281,1.5925,0.511497,3.41,0.363237,3.72,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Justin Fields","CHI","QB","2565920","robust",3431.15,200.655084,19.055,2.802114,14.5,1.77912,579.0725,74.8713,3.64,1.26021,4.833125,0.16493925,1.01,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Zach Wilson","NYJ","QB","2566391","robust",3417.125,193.84995,20.5525,1.845837,13.375,1.70499,227.785,22.409499,2.5,0.7413,1.3875,0.28725375,1.63,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Knee - Meniscus",0,2022
"33","Drew Lock","SEA","QB","2562305","robust",2210,439.828116,14.5,1.571556,8.3,2.564898,114.095,21.653373,1.2,0.185325,1.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Deshaun Watson","CLE","QB","2558063","robust",1665.41,196.51863,10.63,1.008168,4.435,0.504084,170.75,62.432286,1.5,0.7413,1.21,0.207564,0.94,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"S","Suspension",0,2022
"35","Gardner Minshew","PHI","QB","2562796","robust",436.2,335.0676,1.5,0.88956,1,0.44478,26,11.8608,0.05,0,0.3,0.14826,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Jacoby Brissett","CLE","QB","2555261","robust",2184.13,342.18408,12.36,2.9652,7.3075,2.994852,114.235,24.625986,1.1,0.874734,2.0775,0.6263985,0.76,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Derrick Henry","TEN","RB","2556075","robust",NA,NA,NA,NA,NA,NA,1647.775,173.4642,13.6827956989247,1.75361290322581,1.9325,0.0500377499999999,1.06,0,24.865,2.349921,198.6675,23.454732,1.0275,0.692677096774194,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Jonathan Taylor","IND","RB","2564148","robust",NA,NA,NA,NA,NA,NA,1668.775,126.68817,15.2423076923077,1.70499,2.391875,0.09080925,0.01,0,41.355,5.945226,341.055,53.455143,2,0.37065,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Dalvin Cook","MIN","RB","2557991","robust",NA,NA,NA,NA,NA,NA,1301.5275,86.88036,10,1.16848983050847,2.72,0.163086,2.13,0,46.52,6.6717,351.025,59.489325,1.16093220338983,0.7413,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Nick Chubb","CLE","RB","2561021","robust",NA,NA,NA,NA,NA,NA,1312.25,132.6927,9.8975,2.52237078947369,1.5,0.0741300000000001,0,NA,25.825,3.536001,208.905,23.7216,1.09868421052632,0.044478,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Joe Mixon","CIN","RB","2557976","robust",NA,NA,NA,NA,NA,NA,1252.7225,138.823251,10.29,1.326927,1.61125,0.0111194999999999,0,NA,47.76,5.470794,341.925,40.99389,2.39166666666667,0.437367000000001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Rashaad Penny","SEA","RB","2560835","robust",NA,NA,NA,NA,NA,NA,1019.575,159.3795,7.26968085106383,1.060059,1.1475,0.03891825,0.14,0,18.445,6.034182,136.975,23.069256,0.53563829787234,0.243682659574468,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Illness",0,2022
