"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"115","Steelers","DST","PIT",92.3,5.01,0.929,86,99,-6.78,-3.4,-14,110,99,125,11,"7",140,1.37,6
"116","Justin Herbert","QB","LAC",307,22.3,6.84,279,332,-7.05,-1.67,-14.8,111,91,128,17,"5",127,5.76,49
"117","Dolphins","DST","MIA",91.4,9.03,2.38,82.1,104,-7.71,-7.3,-9.24,112,110,112,12,"8",148,1.03,35
"118","Daniel Carlson","K","LVR",135,10.3,0.795,120,147,-8.53,-13.1,-9.16,113,130,110,17,"3",167,1.26,52
"119","Cam Little","K","JAC",134,10.3,0.943,124,151,-9.32,-8.33,-4.69,114,117,92,18,"3",170,0,84
"120","Nathaniel Dell","WR","HOU",181,15.7,2.97,159,207,-9.54,-12.9,-3.51,115,129,88,29,"7",65.2,11.2,56
"121","Brian Robinson","RB","WAS",161,17.8,2.51,131,182,-9.98,-21.7,-21.5,116,156,160,29,"7",87.4,7.83,28
"122","Bengals","DST","CIN",89,10.1,2.49,74.6,102,-10.1,-14.8,-11,117,136,116,13,"9",151,0.85,65
"123","Chase McLaughlin","K","TB",133,6.92,0.255,121,141,-10.3,-12,-15,118,124,132,19,"3",184,0.912,55
"124","Dustin Hopkins","K","CLE",133,10.2,0.0623,119,149,-10.5,-13.2,-7.02,119,131,100,20,"3",139,0.998,39
"125","Chris Boswell","K","PIT",133,4.57,1.74,127,139,-10.6,-5.47,-16.5,120,102,135,21,"3",164,0.972,29
"126","Matt Prater","K","ARI",131,4.8,1.98,125,138,-12.3,-7.74,-18.1,121,111,140,22,"3",169,0,58
"127","Zack Moss","RB","CIN",158,20.6,0.11,134,187,-12.5,-18.7,-17,122,145,136,30,"7",94.6,7.78,49
"128","Christian Kirk","WR","JAC",178,14.6,0.378,159,202,-12.5,-12.6,-7.87,123,128,106,30,"7",80.3,9.23,33
"129","Jaylen Warren","RB","PIT",158,9.15,7.51,146,169,-12.6,-7.28,-34.5,125,109,186,31,"8",96.2,5.84,1
"130","Raiders","DST","LVR",86.5,4.22,0.163,81.1,92.3,-12.6,-8.24,-20.7,124,116,152,14,"9",168,0.5,19
"131","Seahawks","DST","SEA",86.4,6.5,0.457,75.7,92.8,-12.7,-13.7,-20.2,126,132,149,15,"10",170,0.6,52
"132","Calvin Ridley","WR","TEN",178,9.16,0.00037,171,197,-12.9,-1.3,-13.6,127,88,123,31,"7",76.7,10.6,14
"133","Chris Godwin","WR","TB",178,10.8,2.39,168,199,-12.9,-3.38,-11.5,128,98,119,32,"7",89.4,10.5,16
"134","Saints","DST","NO",85.9,6.4,0.368,75.6,92.5,-13.2,-13.8,-20.5,129,134,151,16,"10",161,1,16
"135","Taysom Hill","TE","NO",106,7.36,2.61,98.9,117,-13.4,0,-25.8,130,82,170,17,"7",149,2.4,79
"136","Giants","DST","NYG",85.5,8.39,0.202,72.7,95.3,-13.6,-16.7,-17.7,131,140,138,17,"11",185,0.5,74
"137","Jaguars","DST","JAC",85.3,3.92,0.0868,79.6,91.8,-13.8,-9.83,-21.2,132,119,157,18,"11",166,0.4,13
"138","Kirk Cousins","QB","ATL",300,26.1,3.09,267,339,-13.9,-13.8,-7.68,134,133,105,18,"5",133,4.37,63
"139","Packers","DST","GB",85.3,9.72,0.151,67.1,92.9,-13.9,-22.3,-20.1,133,157,148,19,"11",169,1.05,55
"140","Lions","DST","DET",85.1,11.1,0.758,66.5,98.1,-14,-22.9,-15,135,159,130,20,"12",166,0.8,71
"141","Joshua Karty","K","LAR",129,7.94,0.0257,120,139,-14.3,-12.6,-16.4,136,127,134,23,"3",170,0,74
"142","Jake Bates","K","DET",129,9.56,1.33,114,143,-14.3,-18.8,-13.2,137,146,120,24,"4",170,1.7,81
"143","Chargers","DST","LAC",84.4,9.81,0.169,71.5,94.8,-14.8,-17.9,-18.2,138,143,141,21,"12",168,0.2,87
"144","Bears","DST","CHI",84.2,4.21,0.69,77.1,89.2,-14.9,-12.3,-23.8,139,125,166,22,"13",150,1.8,1
"145","Terry McLaurin","WR","WAS",175,16.5,0.537,157,201,-15.3,-14.8,-9.18,140,137,111,33,"7",75.8,12.3,41
"146","Wil Lutz","K","DEN",128,6.38,1.06,120,136,-15.6,-12.4,-20.3,142,126,150,25,"4",172,0.984,32
"147","Falcons","DST","ATL",83.5,9.97,1.15,66.3,93.9,-15.6,-23,-19.1,141,160,144,23,"14",167,0.2,81
"148","Keenan Allen","WR","CHI",175,23,0.0422,145,202,-15.8,-26.6,-8.55,143,166,107,34,"7",81.8,10.9,81
"149","Rashee Rice","WR","KC",175,9.67,4.59,157,184,-15.9,-14.7,-26.1,144,135,171,35,"7",75.2,10.6,27
"150","Hunter Henry","TE","NE",103,11.6,0.277,90.5,122,-16,-8.38,-21.3,145,118,159,18,"7",161,1.93,38
"151","Tyler Conklin","TE","NYJ",103,11.1,0.103,87.5,120,-16.3,-11.4,-23.3,146,122,164,19,"7",157,2.08,47
"152","Juwan Johnson","TE","NO",103,18.5,6.08,74,130,-16.4,-24.8,-13.4,147,164,121,20,"8",174,3.04,74
"153","Nick Folk","K","TEN",127,7.03,0.933,117,135,-16.7,-15.2,-20.9,148,139,155,26,"4",170,0,65
"154","Rams","DST","LAR",82.3,10.2,0.392,68.8,98.4,-16.8,-20.6,-14.6,149,152,127,24,"14",170,0,77
"155","Aaron Rodgers","QB","NYJ",297,20.1,1.25,273,334,-17,-7.09,-13.6,150,106,122,19,"5",129,5.74,54
"156","Buccaneers","DST","TB",81.9,9.78,1.76,68,91.9,-17.2,-21.4,-21.1,151,155,156,25,"15",161,0,68
"157","Brayden Narveson","K","GB",126,15.4,2.68,105,146,-17.6,-27.9,-9.44,152,169,113,27,"4",170,0,94
"158","Matthew Stafford","QB","LAR",295,14.4,3.03,278,316,-18.2,-2.63,-31.2,153,94,180,20,"5",139,4.68,20
"159","Commanders","DST","WAS",80.2,17.1,0.348,51.6,95.4,-18.9,-37.8,-17.6,154,183,137,26,"16",170,0,99
"160","Vikings","DST","MIN",79.8,7.52,0.024,68.7,89.8,-19.3,-20.6,-23.2,155,153,163,27,"16",170,0.1,48
"161","Broncos","DST","DEN",79.8,7.76,1.88,70.5,93.2,-19.3,-18.9,-19.8,156,147,147,28,"17",159,0,58
"162","Austin Ekeler","RB","WAS",150,15.3,0.191,133,178,-20.1,-20.1,-25.7,157,150,169,32,"8",95.2,8.64,30
"163","Tyjae Spears","RB","TEN",150,12,8.6,134,171,-20.3,-18.5,-32.8,158,144,181,33,"8",101,5.04,3
"164","Will Reichard","K","MIN",123,10.9,2,110,138,-20.3,-22.8,-17.8,159,158,139,28,"4",170,1.83,90
"165","Jayden Reed","WR","GB",170,16.5,2.5,151,191,-20.4,-20.5,-19,160,151,142,36,"7",85.8,5.06,49
"166","Titans","DST","TEN",77.9,8.8,0.379,65.6,90.6,-21.2,-23.8,-22.4,161,162,162,29,"17",170,0,90
"167","Deshaun Watson","QB","CLE",292,17.5,0.603,269,319,-21.3,-11,-28.1,162,121,175,21,"5",149,3.87,57
"168","Patriots","DST","NE",77.6,5.68,2.24,70.3,85.4,-21.6,-19,-27.6,163,148,174,30,"18",160,0,32
"169","Baker Mayfield","QB","TB",292,12.5,8.25,272,307,-21.9,-8.1,-40.2,164,114,194,22,"6",149,3.67,31
"170","Graham Gano","K","NYG",121,12.7,2.17,104,142,-22.3,-28.9,-14.3,165,173,126,29,"4",170,0,87
"171","Chigoziem Okonkwo","TE","TEN",96.6,14.7,0.339,78.9,122,-22.4,-19.9,-20.7,166,149,153,21,"8",160,1.84,71
"172","Luke Musgrave","TE","GB",96.3,18.5,1.15,70.5,117,-22.8,-28.4,-26.1,167,171,172,22,"8",155,1.93,68
"173","Diontae Johnson","WR","CAR",167,14.2,4.03,145,191,-23,-26.7,-19.5,168,167,146,37,"7",94,7.97,37
"174","Cardinals","DST","ARI",75.3,13.3,1.72,52.4,92.2,-23.8,-37,-20.8,169,182,154,31,"19",155,0.1,97
"175","Cade Otton","TE","TB",95.2,8.01,5.56,83.8,105,-23.9,-15,-38.3,170,138,189,23,"8",167,1.64,24
"176","Eddy Pineiro","K","CAR",119,9.58,9.67,109,136,-24.5,-23.4,-19.5,171,161,145,30,"5",171,0,71
"177","Panthers","DST","CAR",73.6,12,0,55.9,89.5,-25.5,-33.5,-23.5,172,175,165,32,"19",170,0,94
"178","Christian Watson","WR","GB",163,22.3,4.26,137,191,-27,-34.6,-19.1,173,177,143,38,"8",98.6,4.91,79
"179","Ezekiel Elliott","RB","DAL",142,13.8,1.41,115,154,-28.9,-37.8,-49.7,174,184,211,34,"8",115,5.28,35
"180","Noah Fant","TE","SEA",89.6,8.85,7.27,77.6,104,-29.5,-21.3,-38.6,175,154,192,24,"9",165,2.05,44
"181","Geno Smith","QB","SEA",283,17.1,5.98,256,306,-30.1,-24.3,-41.5,176,163,195,23,"6",154,2.76,60
"182","Chase Brown","RB","CIN",140,12.3,3.11,122,157,-30.3,-31,-46.6,177,174,204,35,"8",107,6.42,7
"183","Jordan Addison","WR","MIN",159,18.5,0.048,127,183,-31.2,-45.1,-27.6,178,189,173,39,"8",119,3.41,71
"184","DeAndre Hopkins","WR","TEN",159,18.9,2.72,138,195,-31.3,-33.9,-15,179,176,131,40,"8",106,6.99,61
"185","Nick Chubb","RB","CLE",137,31.9,0.0389,103,181,-33.4,-50.3,-22.4,180,197,161,36,"8",92.9,9.67,96
"186","Jerome Ford","RB","CLE",137,24.2,2.72,97.1,166,-33.5,-55.9,-37.6,181,213,188,37,"9",110,6.59,62
"187","Jaxon Smith-Njigba","WR","SEA",156,17,5.18,136,185,-34,-35.5,-25.3,182,179,168,41,"8",107,5.23,60
"188","Joey Slye","K","NE",109,15.6,11.7,87.8,123,-34.2,-44.8,-32.8,183,188,182,31,"6",170,0,97
"189","Daniel Jones","QB","NYG",277,23.9,3.15,244,307,-36.1,-36.2,-40,184,181,193,24,"6",170,3.46,74
"190","Gus Edwards","RB","LAC",134,33.1,4.76,85.8,188,-36.2,-67.2,-15.7,185,228,133,38,"9",104,5.94,87
"191","Isaiah Likely","TE","BAL",82.3,19.1,1.84,63.7,119,-36.7,-35.2,-24.5,186,178,167,25,"9",154,2.45,76
"192","Darren Waller","TE","FA",80.5,NA,0.383,NA,NA,-38.6,NA,NA,187,NA,NA,26,"9",NA,NA,NA
"193","Jonnu Smith","TE","MIA",80.1,18.5,5.26,63,114,-39,-35.8,-28.9,188,180,176,27,"9",174,2.36,85
"194","Derek Carr","QB","NO",274,18.4,10.8,253,295,-39.2,-27.9,-51.8,190,170,212,25,"7",163,4.54,71
"195","Courtland Sutton","WR","DEN",151,6.43,2.67,144,163,-39.2,-27.9,-47.1,189,168,205,42,"8",112,5.8,6
"196","Jonathon Brooks","RB","CAR",130,29.1,4.35,95.4,183,-40.9,-57.6,-21.2,191,217,158,39,"9",96.2,7.78,86
"197","Jameson Williams","WR","DET",149,16.9,0.699,131,181,-41.8,-40.5,-29.7,192,185,178,43,"8",115,3.88,69
"198","Xavier Worthy","WR","KC",148,19.8,0.644,118,181,-42.5,-54.3,-29.4,193,209,177,44,"8",94,7.97,83
"199","Jakobi Meyers","WR","LVR",147,22.1,3.65,125,180,-43.2,-47.3,-30.3,194,192,179,45,"9",139,3.23,77
"200","Zach Ertz","TE","WAS",74.9,19.8,5.49,57.5,105,-44.2,-41.3,-38.3,195,186,190,28,"10",173,2.23,91
